Year,District,Recharge From Rain Fall During Monsoon Season in Ham,Recharge From Other Sources During Monsoon Season in Ham,Recharge From Rain Fall During Non Monsoon Season in Ham,Recharge From Other Sources During Non Monsoon Season in Ham,Total Annual Recharge in Ham,Natural Discharge During Non Monsoon Season In Ham,Net Ground Water Availability in Ham,Existing Gross Ground Water Draft for Irrigation in Ham,Existing Gross Ground Water Draft for Domestic & Industrial Water Supply in Ham,Existing Gross Ground Water Draft for All Uses in Ham,Allocation For Domestic & Industrial Water Supply in Ham,Net Ground Water Availability for Future Irrigation Development in Ham,Stage of Ground Water Development in %,
2013,AGAR,36674.73,2061.45,0,8251.14,46987.32,2349.37,44637.95,37308.18,1272.29,38580.47,1790.1,5539.67,86.43,
2013,ALIRAJPUR,19191.82,823.1,0,1448.74,21463.66,1073.18,20390.48,4750.28,2213.72,6964,5824,9816.2,34.15,
2013,ANUPUR,33590.79,95.36,5577.68,233.85,39497.68,1974.89,37522.79,1122.34,1209.16,2331.5,2700.4,33700.05,6.21,
2013,ASHOKNAGAR,36014.15,1787.64,0,6046.9,43848.69,2192.51,41656.18,19542.35,1602.5,21144.85,2584,19529.83,50.76,
2013,BADWANI,36922.22,1608.16,0,5775.65,44306.03,2215.3,42090.73,31115.06,3242.63,34357.69,4714.6,6261.07,81.63,
2013,BALAGHAT,83218.32,3972.9,8090.86,2730.51,98012.59,4900.97,93111.62,10860.16,3178.92,14039.08,4145,78106.46,15.08,
2013,BETUL,94253.18,3660.07,11957.14,11055.68,120926.1,6000.13,114925.94,62997.1,3475.04,66472.14,4914,47014.84,57.84,
2013,BHIND,52460.95,793.56,1546.75,11341.93,66143.19,3332.85,62810.34,23723.56,2860.69,26584.25,8094,30992.78,42.32,
2013,BHOPAL,32025.09,1913.4,0,5630.96,39569.45,1978.47,37590.98,24889.03,2874.92,27763.95,3512.71,9189.24,73.86,
2013,BURHANPUR,28866.6,913.96,0,4275.55,34056.11,1702.81,32353.3,24460.62,1212.39,25673.01,1562,6330.68,79.35,
2013,CHHATARPUR,65915.85,3698.68,0,14049.49,83664.02,4156.91,79507.11,46826.13,3196.17,50022.3,4618.01,28062.97,62.92,
2013,CHHINDWARA,103113.36,4312.48,11904.87,14033.34,133364.1,6668.27,126695.78,66603.33,5474.03,72077.36,7279,52813.45,56.89,
2013,DAMOH,30727.61,1579,0,8960.48,41267.09,2063.36,39203.73,22773.4,2301.39,25074.79,3254.51,13175.82,63.96,
2013,DATIA,30023.02,766.82,0,7025.73,37815.57,1890.6,35924.97,15362.68,1274.69,16637.37,1954,18608.29,46.31,
2013,DEWAS,71679.07,3016.28,2670.07,11404.21,88769.63,4438.45,84331.18,67877.65,4066.48,71944.13,4955.03,11498.5,85.31,
